displayName,teamAbbreviation,jackDKavgFPTs,PPM,newMins,newAvgPoints
Aaron Gordon,DEN,32.0,1.06,,
Anthony Edwards,MIN,42.75,1.19,,
Austin Rivers,MIN,10.4,0.53,,
Bruce Brown,DEN,24.92,0.87,,
Christian Braun,DEN,10.25,0.66,,
DeAndre Jordan,DEN,14.15,0.94,,
Ish Smith,DEN,7.88,0.85,,
Jack White,DEN,3.4,0.87,,
Jaden McDaniels,MIN,0.0,0.0,,
Jamal Murray,DEN,36.9,1.12,,
Jaylen Nowell,MIN,18.45,0.96,,
Jeff Green,DEN,13.9,0.71,,
Jordan McLaughlin,MIN,12.05,0.76,,
Josh Minott,MIN,7.02,1.1,,
Karl-Anthony Towns,MIN,40.28,1.22,,
Kentavious Caldwell-Pope,DEN,22.12,0.71,,
Kyle Anderson,MIN,26.93,0.95,,
Luka Garza,MIN,10.68,1.23,,
Matt Ryan,MIN,5.9,0.65,,
Michael Porter Jr.,DEN,28.92,1.0,,
Mike Conley,MIN,28.17,0.93,,
Nathan Knight,MIN,6.83,0.89,,
Naz Reid,MIN,0.0,0.0,,
Nickeil Alexander-Walker,MIN,12.88,0.86,,
Nikola Jokic,DEN,58.05,1.72,,
Peyton Watson,DEN,7.25,0.9,,
Reggie Jackson,DEN,19.37,0.79,,
Rudy Gobert,MIN,34.75,1.13,,
Taurean Prince,MIN,16.15,0.73,,
Thomas Bryant,DEN,19.18,1.05,,
Vlatko Cancar,DEN,10.82,0.73,,
Wendell Moore Jr.,MIN,3.95,0.75,,
Zeke Nnaji,DEN,10.15,0.74,,
