displayName,teamAbbreviation,jackDKavgFPTs,PPM,newMins,newAvgPoints
Aaron Gordon,DEN,32,1.06,33,34.98
Anthony Edwards,MIN,42.75,1.19,39,46.41
Austin Rivers,MIN,10.4,0.53,0,0
Bruce Brown,DEN,24.92,0.87,27,23.49
Christian Braun,DEN,10.25,0.66,19,12.54
DeAndre Jordan,DEN,14.15,0.94,0,0
Ish Smith,DEN,7.88,0.85,0,0
Jack White,DEN,3.4,0.87,1,0.87
Jaden McDaniels,MIN,0,0,0,0
Jamal Murray,DEN,36.9,1.12,36,40.32
Jaylen Nowell,MIN,18.45,0.96,5,4.8
Jeff Green,DEN,13.9,0.71,19,13.49
Jordan McLaughlin,MIN,12.05,0.76,9,6.84
Josh Minott,MIN,7.02,1.1,1,1.1
Karl-Anthony Towns,MIN,40.28,1.22,36,43.92
Kentavious Caldwell-Pope,DEN,22.12,0.71,31,22.01
Kyle Anderson,MIN,26.93,0.95,33,31.35
Luka Garza,MIN,10.68,1.23,0,0
Matt Ryan,MIN,5.9,0.65,0,0
Michael Porter Jr.,DEN,28.92,1,32,32
Mike Conley,MIN,28.17,0.93,35,32.55
Nathan Knight,MIN,6.83,0.89,1,0.89
Naz Reid,MIN,0,0,0,0
Nickeil Alexander-Walker,MIN,12.88,0.86,29,24.94
Nikola Jokic,DEN,58.05,1.72,35,60.2
Peyton Watson,DEN,7.25,0.9,2,1.8
Reggie Jackson,DEN,19.37,0.79,1,0.79
Rudy Gobert,MIN,34.75,1.13,33,37.29
Taurean Prince,MIN,16.15,0.73,23,16.79
Thomas Bryant,DEN,19.18,1.05,1,1.05
Vlatko Cancar,DEN,10.82,0.73,0,0
Wendell Moore Jr.,MIN,3.95,0.75,1,0.75
Zeke Nnaji,DEN,10.15,0.74,6,4.44
