Sport,GameId,Type,Time,Team
NBA,85650,Classic,Sun 3:00PM,N/A
NBA,85796,Showdown Captain Mode,Sun 3:00PM,LAL vs MEM
NBA,85804,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN
NBA,85802,Classic,Sun 8:00PM,Night
NBA,85798,Showdown Captain Mode,Sun 5:30PM,MIA vs MIL
NBA,85800,Showdown Captain Mode,Sun 8:00PM,LAC vs PHX
NBA,85754,Showdown Captain Mode,Mon 7:30PM,BKN vs PHI
NBA,85753,Showdown Captain Mode,Thu 8:00PM,N/A
NBA,85749,Classic,Mon 7:30PM,N/A
NBA,85756,Showdown Captain Mode,Mon 10:00PM,GSW vs SAC
